영업상태명,상세영업상태명,지번주소,도로명주소
영업/정상,정상영업,,서울특별시 중구 만리재로 175 401동 91011호 (만리동2가)
영업/정상,정상영업,,서울특별시 중구 퇴계로85길 22 (황학동)
영업/정상,정상영업,서울특별시 중구 을지로6가 18번지 35호,서울특별시 중구 장충단로 253 (을지로6가)
영업/정상,정상영업,서울특별시 중구 봉래동2가 122호,서울특별시 중구 청파로 426 (봉래동2가)
영업/정상,정상영업,서울특별시 중구 신당1동 217번지 91호,서울특별시 중구 청계천로 334 (신당동)
영업/정상,정상영업,서울특별시 중구 남대문로2가 123호,서울특별시 중구 남대문로 67 (남대문로2가)
영업/정상,정상영업,서울특별시 중구 신당동 193번지 2 호,서울특별시 중구 다산로 293 (신당동)
영업/정상,정상영업,서울특별시 중구 황학동 2545번지,서울특별시 중구 청계천로 400-0 (황학동)
영업/정상,정상영업,서울특별시 중구 황학동 2545번지,서울특별시 중구 청계천로 400 (황학동)
영업/정상,정상영업,서울특별시 중구 명동2가 31번지 1호,서울특별시 중구 명동8길 27 (명동2가 엠 플라자)
영업/정상,정상영업,서울특별시 중구 을지로6가 18번지 21호 굿모닝시티쇼핑몰,서울특별시 중구 장충단로 247 (을지로6가굿모닝시티쇼핑몰)
영업/정상,정상영업,서울특별시 중구 명동2가 83번지 5호,서울특별시 중구 명동길 14 (명동2가)
영업/정상,정상영업,서울특별시 용산구 용산동6가 69번지 167호,서울특별시 용산구 이촌로 352 (용산동6가)
영업/정상,정상영업,서울특별시 용산구 한남동 631번지 5호 허준빌딩,서울특별시 용산구 대사관로34길 26 허준빌딩 1층 (한남동)
영업/정상,정상영업,서울특별시 용산구 남영동 93번지 30호,서울특별시 한강대로77길 12
영업/정상,정상영업,,서울특별시 용산구 백범로 341 (원효로1가)
영업/정상,정상영업,서울특별시 용산구 한강로1가 191호   ,
영업/정상,정상영업,서울특별시 용산구 한강로2가 413호   ,서울특별시 용산구 청파로 113-12 (한강로2가)
영업/정상,정상영업,서울특별시 용산구 한강로2가 191호,서울특별시 용산구 한강대로 92 (한강로2가)
영업/정상,정상영업,서울특별시 용산구 한강로2가 15번지 14호,서울특별시 용산구 새창로 181 (한강로2가 선인상가)
영업/정상,정상영업,서울특별시 용산구 보광동 260번지 8호,서울특별시 용산구 보광로 30 (보광동)
영업/정상,정상영업,서울특별시 용산구 서계동 260번지 1호,서울특별시 용산구 효창원로 270 (서계동)
영업/정상,정상영업,서울특별시 용산구 이태원동 119번지 25호,서울특별시 용산구 이태원로 179 (이태원동)
영업/정상,정상영업,서울특별시 용산구 한강로3가 16번지 9호,서울특별시 용산구 청파로 74 (한강로3가)
영업/정상,정상영업,서울특별시 용산구 원효로3가 51번지 30호,서울특별시 용산구 청파로 77 (원효로3가)
영업/정상,정상영업,서울특별시 용산구 용산동6가 69번지 167호,서울특별시 용산구 이촌로 352 (용산동6가)
영업/정상,정상영업,서울특별시 용산구 한강로2가 15번지 19호,서울특별시 용산구 청파로 122 (한강로2가)
영업/정상,정상영업,서울특별시 용산구 한강로2가 413호,서울특별시 용산구 청파로 113-12 (한강로2가)
영업/정상,정상영업,서울특별시 용산구 이태원동 56번지 9호,서울특별시 용산구 이태원로14길 6 (이태원동)
영업/정상,정상영업,서울특별시 성동구 금호동3가 1331번지,서울특별시 성동구 동호로 100 (금호동3가)
영업/정상,정상영업,서울특별시 성동구 왕십리2동 966번지 11호,서울특별시 성동구 왕십리로 333 (하왕십리동)
영업/정상,정상영업,서울특별시 성동구 성수동2가 335번지,서울특별시 성동구 성수이로 32-15 (성수동2가)
영업/정상,정상영업,서울특별시 성동구 성수1가1동 14번지 17호,서울특별시 성동구 아차산로 41 (성수동1가)
영업/정상,정상영업,서울특별시 성동구 용답동 234번지 한국자동차매매센터,서울특별시 성동구 자동차시장1길 70 (용답동 장안평중고자동차시장)
영업/정상,정상영업,서울특별시 성동구 옥수동 220번지 1호 한남하이츠아파트,서울특별시 성동구 독서당로 160 한남하이츠아파트 (옥수동)
영업/정상,정상영업,서울특별시 성동구 행당동 347번지 행당동 대림아파트,서울특별시 성동구 행당로 87 행당동 대림아파트 (행당동)
영업/정상,정상영업,서울특별시 성동구 행당동 346번지 행당 한진타운 종합상가,서울특별시 성동구 행당로 84 행당 한진타운 종합상가 (행당동)
영업/정상,정상영업,서울특별시 성동구 성수동2가 333번지 16호,서울특별시 뚝섬로 379
영업/정상,정상영업,서울특별시 성동구 성수동2가 289번지 4호,서울특별시 성동구 아차산로7길 28 (성수동2가)
영업/정상,정상영업,서울특별시 성동구 마장동 439번지 1호,서울특별시 성동구 마장로35길 68 (마장동)
영업/정상,정상영업,서울특별시 성동구 마장동 510번지 3호 일대,서울특별시 성동구 마장로31길 40 (마장동일대)
영업/정상,정상영업,서울특별시 성동구 왕십리도선동 69번지,서울특별시 성동구 무학로6길 50 (도선동)
영업/정상,정상영업,서울특별시 성동구 행당동 168번지 1호,서울특별시 성동구 왕십리광장로 17 (행당동)
영업/정상,정상영업,서울특별시 성동구 행당동 168번지 151호 왕십리민자역사,서울특별시 성동구 왕십리광장로 17 왕십리민자역사 (행당동)
영업/정상,정상영업,서울특별시 성동구 옥수동 191번지 3호,서울특별시 성동구 한림말길 56 (옥수동)
영업/정상,정상영업,서울특별시 성동구 용답동 49번지 5호,
영업/정상,정상영업,,서울특별시 성동구 왕십리로 241 (행당동)
영업/정상,정상영업,서울특별시 성동구 행당동 155번지 1호 서울숲 더샵,서울특별시 성동구 왕십리로 241 (행당동 서울숲 더샵)
영업/정상,정상영업,서울특별시 광진구 구의2동 49번지 4호,서울특별시 광진구 자양로 293 (구의동)
영업/정상,정상영업,서울특별시 광진구 구의3동 212번지 2호,서울특별시 광진구 아차산로 473 (구의동)
영업/정상,정상영업,서울특별시 광진구 자양동 44번지 2호,서울특별시 광진구 뚝섬로 491 (자양동)
영업/정상,정상영업,서울특별시 광진구 자양동 6번지 20호,서울특별시 광진구 아차산로30길 39 (자양동)
영업/정상,정상영업,서울특별시 광진구 중곡동 229번지 5호,서울특별시 광진구 긴고랑로11길 11 (중곡동)
영업/정상,정상영업,서울특별시 광진구 군자동 503번지,서울특별시 광진구 광나루로 369 (군자동)
영업/정상,정상영업,서울특별시 광진구 중곡2동 41번지 1호,서울특별시 광진구 긴고랑로 60 (중곡동)
영업/정상,정상영업,서울특별시 광진구 화양동 10번지 1호,서울특별시 광진구 능동로13길 39 (화양동)
영업/정상,정상영업,서울특별시 광진구 중곡4동 93번지 2호,서울특별시 광진구 용마산로 10 (중곡동)
영업/정상,정상영업,서울특별시 광진구 중곡동 79번지 13호,서울특별시 광진구 영화사로 12 (중곡동)
영업/정상,정상영업,서울특별시 광진구 자양동 602호,서울특별시 광진구 자양번영로6길 20 (자양동)
영업/정상,정상영업,서울특별시 성북구 돈암동 609번지 1  호   ,
영업/정상,정상영업,서울특별시 광진구 구의동 546번지 4호,서울특별시 광진구 광나루로56길 85 (구의동)
영업/정상,정상영업,서울특별시 광진구 구의동 546번지 4호,서울특별시 광진구 광나루로56길 85 (구의동)
영업/정상,정상영업,서울특별시 광진구 자양동 663번지 21  호,서울특별시 광진구 자양로5길 33 (자양동)
영업/정상,정상영업,서울특별시 광진구 자양동 227번지 7호,서울특별시 광진구 아차산로 272 (자양동)
영업/정상,정상영업,서울특별시 광진구 자양동 227번지 342호 롯데백화점 스타시티점,서울특별시 광진구 능동로 92 (자양동)
영업/정상,정상영업,,서울특별시 마포구 토정로 282 (용강동)
영업/정상,정상영업,서울특별시 마포구 서교동 490번지 1호,서울특별시 마포구 양화로 45 (서교동 메세나폴리스)
영업/정상,정상영업,서울특별시 광진구 자양동 17번지 1호,서울특별시 광진구 아차산로 200 (자양동)
영업/정상,정상영업,서울특별시 광진구 화양동 10번지 1호,서울특별시 광진구 능동로13길 39 (화양동)
영업/정상,정상영업,서울특별시 광진구 중곡동 229번지 15호,서울특별시 광진구 능동로47길 30 (중곡동)
영업/정상,정상영업,서울특별시 광진구 구의동 546번지 1호,서울특별시 광진구 강변역로 50 (구의동)
영업/정상,정상영업,서울특별시 광진구 광장동 484호,서울특별시 광진구 광나루로 635 (광장동)
영업/정상,정상영업,서울특별시 광진구 구의동 611호,서울특별시 광진구 광나루로56길 34 (구의동)
영업/정상,정상영업,서울특별시 광진구 구의동 631번지 1호,서울특별시 광진구 광나루로56길 63 (구의동)
영업/정상,정상영업,서울특별시 동대문구 신설동 109번지 5호,서울특별시 동대문구 천호대로4길 21 (신설동)
영업/정상,정상영업,서울특별시 동대문구 전농1동 591번지 53호,서울특별시 동대문구 왕산로 214 (전농동)
영업/정상,정상영업,서울특별시 동대문구 전농1동 591번지 53호,서울특별시 동대문구 왕산로 214 (전농동)
영업/정상,정상영업,서울특별시 동대문구 장안동 580번지,서울특별시 동대문구 한천로 42 (장안동)
영업/정상,정상영업,서울특별시 동대문구 이문동 292번지 10호,서울특별시 동대문구 이문로 136 (이문동)
영업/정상,정상영업,서울특별시 동대문구 용두동 39번지 1호,서울특별시 동대문구 왕산로34길 26 (용두동 청량리동부청과시장)
영업/정상,정상영업,서울특별시 동대문구 제기동 1140번지 5호,서울특별시 동대문구 왕산로 117 (제기동)
영업/정상,정상영업,서울특별시 동대문구 용두동 787번지 동의보감타워,
영업/정상,정상영업,서울특별시 동대문구 이문1동 292번지 10호 (주)이문종합상가 이문동웰츠타워,
영업/정상,정상영업,서울특별시 동대문구 장안동 108번지 5호,
영업/정상,정상영업,서울특별시 동대문구 회기동 346번지 18 호,
영업/정상,정상영업,서울특별시 동대문구 회기동 346번지 18 호,
영업/정상,정상영업,서울특별시 동대문구 이문동 292번지 10호,서울특별시 동대문구 이문로 136 (이문동)
영업/정상,정상영업,서울특별시 동대문구 제기동 892번지 71호,서울특별시 동대문구 왕산로 109 (제기동)
영업/정상,정상영업,서울특별시 동대문구 장안동 368번지 1호,서울특별시 동대문구 답십리로 288 (장안동)
영업/정상,정상영업,서울특별시 동대문구 이문동 324번지 10호,서울특별시 동대문구 이문로 88 (이문동)
영업/정상,정상영업,서울특별시 동대문구 회기동 346번지 18호,서울특별시 동대문구  이문로  37 (회기동)
영업/정상,정상영업,서울특별시 동대문구 전농동 10번지 외7필지 전농sk아파트 주상가동,서울특별시 동대문구 사가정로 148 (전농동 SK아파트)
