번호,k-아파트코드,k-아파트명,"k-단지분류(아파트,주상복합등등)",주소(시군구),k-복도유형,k-난방방식,k-전체동수,k-전체세대수,k-연면적,k-주거전용면적,주차대수
1889,A15778101,방화동성아파트,아파트,강서구,계단식,지역난방,9,686,65560,52311,877
1890,A15779704,길성그랑프리텔1차,아파트,강서구,계단식,개별난방,2,194,25753,15381,203
2009,A15722007,방화삼성꽃마을,아파트,강서구,계단식,개별난방,3,206,19094,15080,0
2015,A15776001,염창강변월드메르디앙,아파트,강서구,계단식,개별난방,3,164,30268,15071,231
2176,A15770102,그랜드아이파크,주상복합,강서구,계단식,개별난방,3,159,26140,21076,0
2196,A15701004,우장산한화꿈에그린,아파트,강서구,계단식,개별난방,3,187,35307,19103,280
3761,A15721007,마곡엠밸리7단지,아파트,강서구,계단식,지역난방,13,1004,183983,95040,0
4822,A15721010,마곡엠밸리14단지,아파트,강서구,혼합식,지역난방,13,1270,196539,94181,1449
4841,A15728011,마곡엠밸리15단지,아파트,강서구,혼합식,지역난방,13,1171,173172,81229,1312
4842,A15701007,강서힐스테이트아파트,아파트,강서구,계단식,지역난방,37,2603,506394,253959,4023
4981,A15722009,마곡엠밸리1단지,아파트,강서구,혼합식,지역난방,4,237,36763,16134,273
4982,A15721008,마곡엠밸리4단지,아파트,강서구,복도식,지역난방,7,420,68416,31093,590
4983,A15721006,마곡엠밸리6단지,아파트,강서구,혼합식,지역난방,19,1466,225423,111737,1822
6020,A15722010,마곡엠밸리5단지,아파트,강서구,혼합식,지역난방,8,439,83718,40045,644
6841,A10027541,강서쌍용예가아파트,아파트,강서구,계단식,개별난방,4,152,24813,12456,191
6941,A15720001,강서한강자이,아파트,강서구,계단식,개별난방,10,790,142787,73129,220
7061,A15721009,마곡엠밸리2단지,아파트,강서구,혼합식,지역난방,6,408,71160,32577,584
7101,A10027403,마곡엠밸리12단지,아파트,강서구,계단식,지역난방,6,363,56818,22821,421
7122,A10027687,마곡힐스테이트,아파트,강서구,계단식,지역난방,8,603,99266,48814,743
7243,A10027371,마곡엠밸리11단지,아파트,강서구,계단식,지역난방,6,347,48378,22066,360
9500,A15776004,현대3,아파트,강서구,혼합식,개별난방,1,127,15817,8942,108
15108,A10027433,마곡엠밸리8단지,아파트,강서구,계단식,지역난방,10,531,81343,36404,633
18181,A10026879,마곡13단지 힐스테이트마스터 아파트,아파트,강서구,계단식,지역난방,22,1194,191644,91645,1677
21261,A10025600,e편한세상 염창,아파트,강서구,혼합식,개별난방,6,499,71580,36156,604
40089,A10024768,아임2030(청년주택),도시형 생활주택(주상복합),강서구,복도식,개별난방,1,285,10371,4323,106
40139,A10024505,신마곡 벽산 블루밍 ,아파트,강서구,혼합식,지역난방,5,298,40330,19305,300
40155,A10024436,센터스퀘어등촌,,강서구,복도식,개별난방,1,500,28506,12164,282
40160,A10024426,마곡엠밸리9단지,,강서구,혼합식,지역난방,19,1529,217532,99426,1989
43,A15185201,신림현대성우,아파트,관악구,혼합식,개별난방,1,156,21207,11990,167
47,A15101501,보라매갑을,아파트,관악구,계단식,개별난방,1,157,19382,10884,151
128,A15108001,남현동한일유앤아이,아파트,관악구,계단식,개별난방,3,170,26068,14893,184
168,A15106101,봉천은천1단지,아파트,관악구,계단식,개별난방,4,180,28876,15247,208
242,A15188801,신림초원,아파트,관악구,복도식,개별난방,1,197,17432,10120,111
270,A15187101,신림우방,아파트,관악구,혼합식,개별난방,3,201,27367,15721,222
278,A15180701,봉천벽산타운2차,아파트,관악구,혼합식,개별난방,1,203,30975,15564,218
340,A15102202,신림동부센트레빌,아파트,관악구,계단식,개별난방,4,213,33472,17267,241
357,A15105002,봉천인헌,아파트,관악구,복도식,개별난방,3,216,17200,10038,200
402,A15101901,신림금호타운1차,아파트,관악구,복도식,개별난방,2,227,28359,16149,186
431,A15102902,신림건영4차,아파트,관악구,계단식,개별난방,3,236,28599,20031,171
485,A15181602,낙성대현대,아파트,관악구,혼합식,개별난방,3,251,30142,23497,240
578,A15106001,봉천신봉,아파트,관악구,복도식,개별난방,2,277,20729,12869,146
589,A15190301,신림미성,아파트,관악구,복도식,개별난방,2,280,25263,22940,106
673,A15101802,신림신도브래뉴,아파트,관악구,계단식,개별난방,4,304,45238,27405,383
707,A15186002,대학동현대(구신림9동),아파트,관악구,계단식,개별난방,5,336,35204,27298,198
726,A15188101,신림건영2차,아파트,관악구,혼합식,개별난방,4,338,27700,19564,123
812,A15102203,신림쌍용,아파트,관악구,혼합식,개별난방,3,373,50881,27416,397
815,A15184101,서울대입구아이원 (1560-61),아파트,관악구,계단식,개별난방,7,374,48357,29075,417
837,A15106103,봉천은천2단지,아파트,관악구,혼합식,개별난방,8,384,41621,21356,337
838,A15108003,남현우림루미아트,아파트,관악구,계단식,개별난방,4,174,24958,15308,210
863,A15105301,관악푸르지오제2단지,아파트,관악구,복도식,개별난방,1,392,28444,12689,0
1067,A15185704,신림건영1차,아파트,관악구,복도식,개별난방,3,492,37550,27002,0
1105,A15101702,관악산휴먼시아3단지,아파트,관악구,복도식,개별난방,4,512,40655,20388,362
1207,A15101101,신림동부,아파트,관악구,혼합식,개별난방,4,592,50828,34845,401
1323,A15105004,보라매삼성,아파트,관악구,계단식,개별난방,8,710,93237,60240,710
1329,A15105602,봉천우성제2,아파트,관악구,복도식,개별난방,2,717,36086,21811,217
1379,A15101903,건영3차아파트,아파트,관악구,혼합식,개별난방,7,783,77543,57241,0
1572,A15176202,성현동아,아파트,관악구,혼합식,개별난방,10,1261,185933,111028,1664
1615,A15190705,신림푸르지오,아파트,관악구,계단식,개별난방,23,1456,254293,145821,2117
1634,A15105603,관악우성아파트,아파트,관악구,혼합식,중앙난방,8,1597,225184,136819,1803
1664,A15105503,관악드림타운제2,아파트,관악구,복도식,개별난방,5,1843,114254,60377,898
1681,A15106901,봉천두산12단지,아파트,관악구,계단식,개별난방,25,2001,283601,166397,2457
1690,A15105302,관악푸르지오아파트,아파트,관악구,혼합식,개별난방,23,2104,272723,152563,2112
1693,A15105303,관악현대,아파트,관악구,혼합식,개별난방,26,2134,245534,184527,1223
1741,A15180705,관악드림타운,아파트,관악구,계단식,개별난방,44,3544,531140,302518,5404
1772,A15176602,봉천건영6차아파트,아파트,관악구,복도식,개별난방,3,184,23306,13760,167
1800,A15101503,신림2차푸르지오,아파트,관악구,계단식,개별난방,8,349,54429,30125,440
1827,A15101504,관악산휴먼시아,아파트,관악구,계단식,개별난방,39,2810,411433,234237,3386
1830,A15178201,관악벽산블루밍,아파트,관악구,혼합식,개별난방,18,2105,226769,172530,2176
1848,A15101505,신림벽산블루밍,아파트,관악구,계단식,개별난방,3,177,23719,13902,190
1866,A15192201,관악동부센트레빌,아파트,관악구,계단식,개별난방,7,487,64147,37580,524
1868,A15105005,서울대입구삼성아파트,아파트,관악구,계단식,개별난방,3,254,35903,20465,293
1881,A15179701,임광관악파크,아파트,관악구,혼합식,개별난방,5,465,63357,36787,518
1883,A15101506,삼성산주공3단지,아파트,관악구,계단식,개별난방,9,1482,218681,126731,1930
1892,A15178202,봉천벽산블루밍3차,아파트,관악구,계단식,개별난방,5,281,38222,23485,329
1903,A15192202,봉천동아제2,아파트,관악구,복도식,개별난방,4,836,54250,27387,500
1911,A15177101,라이프아파트,아파트,관악구,계단식,개별난방,1,171,17620,13151,152
1914,A15105006,낙성대현대홈타운,아파트,관악구,계단식,개별난방,2,297,52610,29450,426
1919,A15176701,관악국제산장,아파트,관악구,혼합식,개별난방,8,630,72052,50109,372
1965,A15101508,신림현대,아파트,관악구,혼합식,중앙난방,12,1634,171854,126269,1067
2075,A15178203,봉천두산3단지,아파트,관악구,복도식,개별난방,3,560,33774,17556,264
2093,A15178204,관악벽산블루밍임대,아파트,관악구,복도식,개별난방,3,799,48062,26303,424
2133,A15101509,신림SH빌(임대),아파트,관악구,복도식,개별난방,1,150,11702,4625,107
6802,A15105008,관악파크푸르지오,아파트,관악구,계단식,개별난방,7,363,37249,28354,417
18102,A10026910,관악우정하이비전아파트 1단지,아파트,관악구,계단식,개별난방,2,140,19269,11790,0
21561,A10025428,e편한세상서울대입구 3단지,아파트,관악구,복도식,개별난방,2,206,17046,7570,0
21601,A10025423,e편한세상서울대입구1단지아파트,아파트,관악구,계단식,개별난방,10,711,111620,57164,0
40022,A10025092,e편한세상서울대입구아파트,아파트,관악구,계단식,개별난방,19,1276,200807,102534,1520
40045,A10024894,이편한세상서울대입구2차(5단지),아파트,관악구,혼합식,개별난방,10,519,81592,38983,770
40095,A10024749,신림2차금호타운,아파트,관악구,혼합식,개별난방,1,126,12765,9681,126
40116,A10024638,관악월드메르디앙아파트,아파트,관악구,계단식,개별난방,2,118,12369,9729,130
40119,A10024634,신림서초아파트,아파트,관악구,기타,개별난방,,109,0,8252,109
40121,A10024621,태흥아파트,아파트,관악구,기타,개별난방,,127,0,8027,82
9,A14319001,자양경남아너스빌,아파트,광진구,혼합식,개별난방,1,150,18340,10974,132
52,A14319002,자양한강극동,아파트,광진구,계단식,개별난방,2,158,17449,13343,160
58,A14321001,광장11현대홈타운,연립주택,광진구,계단식,개별난방,8,159,27590,13505,182
159,A14319301,자양현대6차,아파트,광진구,혼합식,개별난방,1,178,23330,13466,195
177,A14319003,자양현대,아파트,광진구,계단식,개별난방,2,182,21455,15282,159
178,A14322001,중곡SK,아파트,광진구,혼합식,개별난방,3,182,25413,14377,207
191,A14376501,한솔리베르,아파트,광진구,복도식,개별난방,1,185,23388,14888,203
263,A14380202,광장일신워커힐,,광진구,복도식,개별난방,2,200,16970,15271,205
283,A14319005,자양한강현대,아파트,광진구,계단식,개별난방,2,204,24323,17024,188
311,A14319201,현대강변,아파트,광진구,계단식,개별난방,2,208,22658,17067,130
345,A14319302,자양우방리버파크,아파트,광진구,복도식,개별난방,3,214,28666,16377,222
419,A14386802,자양경남,아파트,광진구,혼합식,개별난방,2,232,30690,16951,249
428,A14319006,자양2차현대,아파트,광진구,계단식,개별난방,1,235,28557,19065,205
458,A14381504,광장동금호베스트빌,아파트,광진구,계단식,개별난방,4,242,32607,18650,250
464,A14319303,자양현대홈타운10차,아파트,광진구,계단식,개별난방,6,245,37340,22622,324
492,A14382101,구의삼성쉐르빌,아파트,광진구,복도식,개별난방,1,252,70373,31212,624
493,A14388204,자양7차현대홈타운,아파트,광진구,혼합식,개별난방,4,252,33065,19235,267
496,A14313001,화양현대,아파트,광진구,혼합식,개별난방,3,253,30410,18026,266
499,A14319305,광진트라팰리스,주상복합,광진구,계단식,개별난방,2,204,52666,27493,452
512,A14319007,자양현대홈타운8차,아파트,광진구,계단식,개별난방,5,257,36672,22806,323
526,A14319306,이튼타워리버3차,아파트,광진구,계단식,개별난방,3,260,47928,26197,490
553,A14319203,자양현대5차,아파트,광진구,혼합식,개별난방,3,270,39206,21058,278
561,A14320001,구의현대7단지,아파트,광진구,혼합식,개별난방,3,273,35455,19649,282
670,A14380605,광장신동아파밀리에,아파트,광진구,계단식,개별난방,8,302,46889,25575,353
686,A14319008,자양대동,아파트,광진구,혼합식,개별난방,4,314,42150,23248,337
700,A14319009,자양로얄동아,아파트,광진구,혼합식,개별난방,4,322,43220,25222,325
705,A14319307,자양한라,아파트,광진구,복도식,개별난방,2,329,43308,24211,344
715,A14320002,구의대림아크로리버,주상복합,광진구,계단식,개별난방,2,220,54977,32177,549
764,A14320302,구의강변우성,아파트,광진구,계단식,개별난방,3,354,38674,30005,235
766,A14319010,한강우성아파트,아파트,광진구,계단식,개별난방,2,355,41688,30076,230
773,A14383901,군자일성파크,아파트,광진구,복도식,개별난방,2,357,42443,26614,362
781,A14381506,광장삼성12차,아파트,광진구,혼합식,개별난방,3,360,34066,25738,0
816,A14388208,자양동삼성아파트,아파트,광진구,혼합식,개별난방,4,375,39904,29880,367
827,A14381407,광장동 광나루현대,아파트,광진구,계단식,개별난방,3,380,50237,32262,354
883,A14386109,자양우성2차,아파트,광진구,혼합식,개별난방,3,405,35318,26950,144
925,A14383203,구의현대6단지,아파트,광진구,계단식,개별난방,3,421,51776,35745,295
958,A14381508,광장현대9차,아파트,광진구,계단식,개별난방,5,437,52403,31555,423
961,A14319204,자양현대3차,아파트,광진구,혼합식,개별난방,2,439,52336,36249,369
973,A14387605,자양한양,아파트,광진구,혼합식,개별난방,6,444,66500,57845,492
983,A14380409,광장극동1차,아파트,광진구,계단식,중앙난방,5,448,76761,53453,450
1016,A14386110,자양우성3차,아파트,광진구,혼합식,개별난방,7,464,43847,34453,3
1131,A14381510,광장현대8단지,아파트,광진구,혼합식,개별난방,3,537,69686,43257,411
1186,A14380211,워커힐아파트,아파트,광진구,계단식,중앙난방,14,576,128992,109302,0
1193,A14381512,광장현대5단지,아파트,광진구,혼합식,개별난방,6,581,60508,43756,430
1235,A14319311,자양우성7차,아파트,광진구,혼합식,개별난방,5,625,75000,45259,653
1271,A14381513,광장청구,아파트,광진구,혼합식,개별난방,4,654,76231,47029,478
1273,A14319011,자양우성1차,아파트,광진구,혼합식,개별난방,6,656,55720,43140,229
1452,A14380414,극동2차아파트,아파트,광진구,계단식,중앙난방,11,896,99012,80168,1344
1518,A14381415,광장현대3단지아파트,아파트,광진구,혼합식,개별난방,10,1056,108460,81664,512
1552,A14381516,광장현대파크빌,아파트,광진구,계단식,개별난방,13,1170,146804,89885,1208
1554,A14319012,자양더샵스타시티,주상복합,광진구,복도식,개별난방,4,1177,327563,157669,2810
1632,A14320304,구의현대프라임,아파트,광진구,혼합식,중앙난방,15,1592,246400,148388,1949
1638,A14383205,구의현대2단지,아파트,광진구,혼합식,개별난방,15,1606,213036,136314,1391
1994,A14377402,이튼타워리버5차,아파트,광진구,계단식,개별난방,4,279,62050,29857,472
2193,A14375301,광장힐스테이트,아파트,광진구,계단식,개별난방,5,453,85293,43994,674
10527,A14375302,워커힐푸르지오,아파트,광진구,계단식,개별난방,2,200,26756,15271,205
10528,A14375303,현대홈타운12차,아파트,광진구,계단식,개별난방,2,119,32488,17261,277
18162,A10026874,강변에스케이뷰,아파트,광진구,계단식,개별난방,2,197,31265,16723,234
18441,A10026720,래미안 프리미어 팰리스,아파트,광진구,계단식,개별난방,2,264,64779,21636,361
20481,A10025985,래미안 구의 파크스위트 아파트,아파트,광진구,계단식,개별난방,12,854,137745,66074,1130
21681,A10025404,아스하임4차,도시형 생활주택(주상복합),광진구,복도식,개별난방,1,162,8134,2614,128
40094,A10024751,광장자이아파트,,광진구,계단식,개별난방,2,122,34227,18141,281
40109,A10024667,구의세양아파트 ,아파트,광진구,계단식,개별난방,2,130,19248,10962,146
4,A15275101,개봉건영,아파트,구로구,계단식,개별난방,2,209,24523,16894,0
21,A15210101,오류동선,아파트,구로구,계단식,개별난방,1,152,16366,8849,122
33,A15288801,신도림우성5차,아파트,구로구,복도식,개별난방,1,154,16328,11152,136
49,A15283801,신도림쌍용플래티넘노블,아파트,구로구,계단식,개별난방,2,155,44167,17885,258
73,A15284302,구로대성스카이렉스,주상복합,구로구,계단식,개별난방,2,160,27171,14281,225
82,A15283701,고척경남1차,아파트,구로구,혼합식,개별난방,1,163,18138,11491,136
92,A15208201,고척양우,아파트,구로구,혼합식,개별난방,1,165,21192,11581,169
97,A15283803,구로금호어울림,아파트,구로구,복도식,개별난방,1,166,31965,12014,121
101,A15284101,구로2차순영웰라이빌,주상복합,구로구,복도식,개별난방,1,166,23060,10763,194
139,A15280602,신개봉삼환,아파트,구로구,혼합식,개별난방,1,173,22681,12354,167
180,A15210102,오류금호어울림,아파트,구로구,계단식,개별난방,2,182,22177,13605,205
202,A15209201,개봉상우,아파트,구로구,혼합식,개별난방,2,188,24033,14061,175
204,A15286602,구로월드,아파트,구로구,혼합식,개별난방,2,189,25499,13427,197
286,A15288802,신도림대림3차,아파트,구로구,계단식,개별난방,3,204,31420,18502,260
287,A15283702,고척우성꿈동산,아파트,구로구,혼합식,개별난방,3,204,29952,16418,194
294,A15210103,동부(돌타운)아파트,아파트,구로구,혼합식,개별난방,2,205,29220,16250,240
307,A15284204,구로성호주상복합,주상복합,구로구,복도식,개별난방,1,206,15520,7695,163
312,A15209303,대상,아파트,구로구,복도식,개별난방,2,208,25770,14972,174
330,A15209304,영화 아이닉스,아파트,구로구,계단식,개별난방,2,212,31875,17872,252
362,A15205001,우리유앤미,아파트,구로구,혼합식,개별난방,2,216,26940,16642,225
369,A15210104,오류라인,아파트,구로구,복도식,개별난방,1,218,27613,17477,195
447,A15205301,구로신성미소지움,아파트,구로구,계단식,개별난방,4,240,29581,18893,252
465,A15280303,개봉거성푸르뫼2차아피트,아파트,구로구,계단식,개별난방,3,245,35135,21820,237
466,A15208202,고척삼익1단지,아파트,구로구,혼합식,개별난방,2,245,33166,20051,280
472,A15210206,오류금강,아파트,구로구,혼합식,개별난방,2,247,24417,18128,200
477,A15280304,개봉거성푸르뫼1차,아파트,구로구,계단식,개별난방,3,249,32347,22234,240
494,A15210105,오류동부덕고개,아파트,구로구,혼합식,개별난방,3,252,32918,19785,242
509,A15286801,구로우방,아파트,구로구,복도식,중앙난방,2,256,30119,21733,203
521,A15288803,신도림현대,아파트,구로구,혼합식,개별난방,5,260,26860,18039,212
560,A15284305,구로새솔금호,아파트,구로구,혼합식,개별난방,1,272,34952,19641,224
563,A15283603,고척경남2차,아파트,구로구,혼합식,개별난방,3,273,34250,19937,261
601,A15288804,신도림우성3차,아파트,구로구,계단식,개별난방,3,284,30983,24070,181
607,A15283806,구로다솜금호,아파트,구로구,혼합식,개별난방,1,285,33914,20594,221
625,A15282403,고척한효,아파트,구로구,복도식,개별난방,3,290,30277,21754,154
626,A15286802,구로현대상선,아파트,구로구,계단식,개별난방,2,290,29758,21836,158
640,A15210207,경남아너스빌,아파트,구로구,계단식,개별난방,5,296,40736,24023,322
641,A15205103,구로우성(1동),아파트,구로구,계단식,개별난방,3,296,32729,22372,228
649,A15283704,삼익아파트2단지,아파트,구로구,혼합식,개별난방,4,298,34530,25669,365
657,A15283807,LG신도림자이,아파트,구로구,계단식,개별난방,3,299,47515,25401,342
663,A15210106,오류한신플러스타운,아파트,구로구,계단식,개별난방,5,299,42178,24156,339
664,A15205508,신구로자이,주상복합,구로구,복도식,개별난방,1,299,58499,30287,496
730,A15289508,서울가든빌라,연립주택,구로구,계단식,개별난방,15,339,26936,15576,286
737,A15285503,구로보광,아파트,구로구,계단식,개별난방,9,340,31558,25359,250
741,A15282405,산업인,아파트,구로구,계단식,개별난방,10,342,16660,16664,160
745,A15283809,구로우성,아파트,구로구,혼합식,개별난방,3,344,32929,25618,288
769,A15283706,고척동아한신,아파트,구로구,혼합식,개별난방,4,355,46656,30522,448
787,A15288805,신도림대림5차e-편한세상,아파트,구로구,계단식,개별난방,6,362,53027,30694,411
801,A15209202,개봉삼호아파트,아파트,구로구,계단식,개별난방,2,369,45794,27993,318
806,A15282105,개봉영화,아파트,구로구,혼합식,개별난방,2,372,52116,31440,442
825,A15210209,오류푸르지오,아파트,구로구,계단식,개별난방,6,378,53835,30176,384
856,A15208204,고척한일유앤아이,아파트,구로구,계단식,개별난방,7,390,54641,31068,434
860,A15283707,고척동센츄리,아파트,구로구,계단식,지역난방,5,391,44067,33065,246
869,A15283902,신구로현대,아파트,구로구,복도식,개별난방,3,397,40704,28245,181
893,A15288806,신도림우성12차,아파트,구로구,계단식,개별난방,5,408,44868,33690,252
902,A15288807,신도림대림7차e-편한세상,아파트,구로구,계단식,개별난방,6,411,72335,39204,562
930,A15210210,오류삼천리,아파트,구로구,계단식,개별난방,4,423,62202,35661,529
937,A15284603,구로럭키,아파트,구로구,복도식,개별난방,2,427,40221,29138,246
965,A15282608,고척우성현대,아파트,구로구,복도식,중앙난방,4,440,44847,31424,320
969,A15205002,구로두산제2,아파트,구로구,복도식,개별난방,1,442,22171,12199,0
981,A15283709,고척청구아파트,아파트,구로구,혼합식,지역난방,4,448,61151,34665,465
991,A15286210,신도림현대,아파트,구로구,계단식,개별난방,3,450,50312,36005,379
997,A15205104,구로한일유엔아이,아파트,구로구,계단식,개별난방,8,454,68912,39355,535
1061,A15286805,구로한신1차,아파트,구로구,복도식,중앙난방,2,488,30799,21896,126
1072,A15285004,구로극동,아파트,구로구,복도식,개별난방,4,493,51540,36923,258
1083,A15288002,구로이화우성,아파트,구로구,혼합식,개별난방,5,497,64609,40645,493
1089,A15205303,구로한신휴플러스,아파트,구로구,혼합식,개별난방,7,498,64419,28411,498
1097,A15288808,SK VIEW,주상복합,구로구,계단식,개별난방,3,304,44408,25831,643
1166,A15209203,개봉두산,아파트,구로구,혼합식,중앙난방,2,561,74198,46186,526
1191,A15286806,중앙구로하이츠,아파트,구로구,복도식,중앙난방,6,579,56324,42918,408
1206,A15288004,구로현대,아파트,구로구,복도식,개별난방,5,591,54530,38961,515
1210,A15285804,구로중앙하이츠아파트,아파트,구로구,계단식,개별난방,5,597,76848,45109,617
1216,A15208003,고척삼환로즈빌,아파트,구로구,계단식,개별난방,7,600,86050,48696,671
1234,A15210211,오류금강수목원,아파트,구로구,계단식,개별난방,22,620,59777,44712,630
1238,A15210212,오류동 영풍마드레빌,아파트,구로구,계단식,개별난방,12,627,88905,49793,670
1272,A15288809,신도림동아2차,아파트,구로구,혼합식,개별난방,5,655,98211,52681,779
1284,A15205305,구로두산위브,아파트,구로구,혼합식,개별난방,9,660,65642,29537,585
1328,A15282810,고척서울가든,아파트,구로구,혼합식,개별난방,5,715,70913,51168,547
1330,A15205511,신도림롯데,아파트,구로구,계단식,개별난방,11,718,103231,63302,888
1339,A15286807,구로현대연예인,아파트,구로구,혼합식,중앙난방,6,735,72432,56658,680
1362,A15288301,궁동우신빌라,연립주택,구로구,계단식,개별난방,28,762,63412,37623,224
1381,A15209205,개봉삼환,아파트,구로구,혼합식,개별난방,6,783,98554,65723,691
1405,A15288810,신도림동아3차,아파트,구로구,계단식,개별난방,9,813,124839,73762,1064
1412,A15288611,신도림미성,아파트,구로구,복도식,중앙난방,6,824,71796,52344,450
1417,A15205108,구일우성아파트,아파트,구로구,혼합식,개별난방,10,829,109938,66439,0
1429,A15288812,신도림4차e-편한세상,아파트,구로구,계단식,개별난방,15,853,175155,98467,1484
1444,A15283711,고척벽산블루밍,아파트,구로구,계단식,개별난방,11,886,132833,75202,1054
1467,A15210107,오류동부골든,아파트,구로구,혼합식,개별난방,9,932,118829,81494,749
1484,A15209206,개봉현대홈타운2단지,아파트,구로구,혼합식,개별난방,11,964,132651,82545,0
1529,A15288813,신도림동아1차,아파트,구로구,계단식,개별난방,11,1095,177870,105443,1511
1568,A15284906,구로삼성래미안,아파트,구로구,혼합식,개별난방,16,1244,190134,100565,1470
1569,A15205513,신도림태영타운,아파트,구로구,계단식,중앙난방,13,1252,198580,113759,2028
1577,A15205405,구로두산,아파트,구로구,혼합식,중앙난방,10,1285,111963,65384,801
1597,A15209305,개봉한진,아파트,구로구,혼합식,개별난방,13,1371,183389,104947,1459
1677,A15209002,개봉한마을,아파트,구로구,계단식,개별난방,26,1983,216427,170123,2499
1692,A15286809,구로주공,아파트,구로구,혼합식,중앙난방,19,2126,186670,142048,1200
1701,A15288814,신도림대림12차,아파트,구로구,혼합식,개별난방,27,2298,325741,192406,2826
1708,A15209207,개봉동현대아파트,아파트,구로구,계단식,개별난방,31,2412,365347,211891,3068
1773,A15209003,청실아파트,아파트,구로구,복도식,개별난방,1,156,14898,10763,113
1781,A15271601,서울수목원현대홈타운스위트,아파트,구로구,계단식,개별난방,11,245,38277,21761,305
1855,A15209004,개봉동아이파크,아파트,구로구,계단식,개별난방,11,684,78446,58460,827
1861,A15208005,고척마젤란,아파트,구로구,계단식,개별난방,2,175,23757,14545,207
1970,A15279402,고척LIG리가아파트,아파트,구로구,계단식,지역난방,8,421,63680,33413,0
1973,A15279403,고척파크푸르지오,아파트,구로구,계단식,개별난방,11,662,101370,52291,910
1984,A15279404,고척대우,아파트,구로구,혼합식,지역난방,13,987,144422,79253,1179
1988,A15279101,온수힐스테이트,아파트,구로구,계단식,개별난방,18,999,158579,84794,1267
2039,A15278301,오류동부골든SH임대,아파트,구로구,복도식,개별난방,1,304,17508,10023,75
2113,A15208006,고척벽산베스트블루밍,아파트,구로구,계단식,개별난방,6,339,50915,26540,407
2148,A15277302,신도림디큐브시티,주상복합,구로구,혼합식,지역난방,2,524,120063,54208,0
2152,A15213002,천왕이펜하우스6단지,아파트,구로구,계단식,개별난방,14,678,91039,47090,757
2153,A15213003,천왕이펜하우스2단지,아파트,구로구,혼합식,개별난방,9,526,71763,34861,598
2163,A15213006,천왕이펜하우스1단지,아파트,구로구,혼합식,개별난방,6,314,41108,18593,343
2177,A15208007,고척월드메르디앙,아파트,구로구,계단식,개별난방,4,180,27711,15288,210
3181,B15281101,개봉거성,,구로구,,개별난방,5,190,15608,,58
3461,A15210001,천왕연지타운1단지,아파트,구로구,계단식,개별난방,11,571,74540,33177,695
3481,A15213007,천왕연지타운2단지,아파트,구로구,혼합식,개별난방,16,1018,148465,74418,1364
4901,A15208008,개봉푸르지오,,구로구,기타,기타,,978,0,78381,1159
9572,A15209007,개봉 푸르지오,아파트,구로구,계단식,개별난방,10,978,147217,78381,1159
20401,A10026039,천왕이펜하우스8단지,아파트,구로구,복도식,개별난방,4,298,22558,10446,298
20701,A10025858,항동하버라인8단지,아파트,구로구,혼합식,지역난방,5,384,43196,18226,406
21222,A10025614,항동하버라인3단지,아파트,구로구,혼합식,지역난방,12,1170,158337,73991,0
21721,A10025387,항동하버라인2단지,아파트,구로구,계단식,지역난방,6,646,91223,42318,740
21841,A10025302,항동하버라인4단지아파트,아파트,구로구,계단식,지역난방,4,297,43054,17420,0
40002,A10025193,항동 한양수자인 에듀힐즈,아파트,구로구,계단식,지역난방,9,634,99766,54404,816
40016,A10025115,항동중흥S클래스베르데카운티,아파트,구로구,계단식,지역난방,6,419,80444,38764,661
40042,A10024927,구로항동제일풍경채포레스트,아파트,구로구,계단식,지역난방,4,345,54257,30060,453
40051,A10024849,구로항동우남퍼스트빌,아파트,구로구,계단식,지역난방,5,337,57051,30018,500
30,A15383601,독산진도2차,아파트,금천구,혼합식,개별난방,1,154,17642,11178,139
31,A15381402,독산계룡,아파트,금천구,혼합식,개별난방,2,154,19933,11034,160
192,A15303401,시흥금강,아파트,금천구,혼합식,개별난방,1,185,26179,14353,200
240,A15384101,현대공무원,아파트,금천구,혼합식,개별난방,1,197,21956,15947,210
308,A15303502,관악산신도브래뉴,아파트,금천구,계단식,개별난방,2,206,28839,17698,247
323,A15380101,가산삼익아파트,아파트,금천구,혼합식,개별난방,2,210,27875,14963,212
346,A15381303,독산현대,아파트,금천구,혼합식,개별난방,2,214,24925,15417,212
409,A15303102,시흥베르빌,아파트,금천구,계단식,개별난방,2,229,32458,18158,253
422,A15303103,시흥성지,아파트,금천구,복도식,개별난방,2,233,23439,16436,200
467,A15383604,독산진도3차,아파트,금천구,혼합식,개별난방,1,245,32063,17410,238
525,A15386404,남서울건영아파트,아파트,금천구,복도식,개별난방,3,260,19701,18040,168
550,A15384501,벽산타운3단지,아파트,금천구,혼합식,개별난방,3,270,34641,21218,271
711,A15386303,시흥현대빌라,연립주택,금천구,계단식,개별난방,15,330,18857,12382,76
738,A15382301,독산신도브래뉴,아파트,금천구,혼합식,개별난방,3,341,45775,25412,371
1155,A15301105,독산동중앙하이츠빌아파트,아파트,금천구,계단식,개별난방,7,554,79874,47022,642
1170,A15303202,관악벽산2단지,아파트,금천구,복도식,개별난방,2,564,30202,18443,138
1231,A15384603,남서울건영2차,아파트,금천구,혼합식,개별난방,3,619,49917,34461,202
1252,A15383905,남서울 무지개 ,아파트,금천구,복도식,중앙난방,5,639,48429,40152,575
1287,A15303203,관악우방,아파트,금천구,혼합식,개별난방,8,671,92069,54157,794
